iter	Logloss
0	0.4565516097
1	0.2985231086
2	0.2069824497
3	0.1460735493
4	0.1084621125
5	0.07827444816
6	0.05805390026
7	0.0442362485
8	0.03442339314
9	0.02805712829
10	0.02250263407
11	0.01887566864
12	0.01598974771
13	0.01341541195
14	0.01169676577
15	0.01006635017
16	0.00879378298
17	0.007759639134
18	0.006962550828
19	0.00629393986
20	0.005604777048
21	0.0050931553
22	0.004690161333
23	0.004308298707
24	0.004009359882
25	0.003745289677
26	0.003481513654
27	0.00324912051
28	0.003043069202
29	0.002837412424
30	0.002660211557
31	0.002528658281
32	0.00239434325
33	0.00227270269
34	0.002150956315
35	0.002050425696
36	0.001945174435
37	0.001861169978
38	0.001771080781
39	0.001700459974
40	0.001634841469
41	0.001574120558
42	0.001517504947
43	0.001464701687
44	0.001414850936
45	0.001368677346
46	0.001318401423
47	0.001272726507
48	0.001228514663
49	0.00118919958
50	0.001150061463
51	0.001111368906
52	0.001067024896
53	0.001034152598
54	0.001008038162
55	0.0009833751572
56	0.0009599412973
57	0.0009374317155
58	0.0009118335493
59	0.0008915270241
60	0.0008705252136
61	0.0008518126894
62	0.0008340331691
63	0.0008089725596
64	0.0007930735789
65	0.0007750383859
66	0.0007602860487
67	0.0007462967769
68	0.0007330476926
69	0.0007198301953
70	0.0007067267983
71	0.0006943066254
72	0.0006757059345
73	0.0006642608431
74	0.0006532023292
75	0.0006428383413
76	0.0006323962315
77	0.0006222225634
78	0.000612830179
79	0.0006035315366
80	0.0005942639039
81	0.0005853265953
82	0.0005768053594
83	0.0005686362188
84	0.0005605879115
85	0.0005527586737
86	0.0005437241029
87	0.0005362068181
88	0.0005291909989
89	0.0005220548701
90	0.0005152705501
91	0.0005085725687
92	0.0005020517528
93	0.0004957282169
94	0.0004896203711
95	0.0004836775011
96	0.0004778546724
97	0.0004722247578
98	0.0004665917223
99	0.0004609795405
100	0.00045551326
101	0.000450475153
102	0.0004455482732
103	0.000440579539
104	0.0004357302237
105	0.0004309012935
106	0.0004261902351
107	0.0004216104031
108	0.0004171162109
109	0.0004127949667
110	0.0004085662498
111	0.0004043396248
112	0.0004002144494
113	0.0003961575858
114	0.0003921697654
115	0.0003883322014
116	0.0003845168605
117	0.0003807898355
118	0.0003771906181
119	0.0003736849846
120	0.0003700925827
121	0.000366536469
122	0.0003630630287
123	0.0003597984392
124	0.0003566067038
125	0.0003532696863
126	0.0003501747651
127	0.0003469517103
128	0.000344012386
129	0.0003410394372
130	0.0003382280581
131	0.0003354520757
132	0.0003325951877
133	0.0003296925093
134	0.0003269768885
135	0.0003242236521
136	0.0003213947192
137	0.0003188289701
138	0.0003162498822
139	0.0003137411812
140	0.000311310754
141	0.0003088827108
142	0.0003063605883
143	0.000303999953
144	0.0003017141297
145	0.0002993498442
146	0.0002971424662
147	0.0002949721257
148	0.0002928198076
149	0.0002905431394
150	0.0002884154008
151	0.0002862958921
152	0.0002841631235
153	0.0002821854006
154	0.0002802285182
155	0.0002782524574
156	0.0002762805697
157	0.0002743271723
158	0.0002723824346
159	0.0002703833738
160	0.0002685871316
161	0.0002667088934
162	0.0002649230111
163	0.0002631621105
164	0.0002613974666
165	0.0002596424394
166	0.0002579869858
167	0.0002562710055
168	0.0002546227464
169	0.0002529706233
170	0.0002514104982
171	0.0002497848813
172	0.0002481726796
173	0.000246570211
174	0.0002449894324
175	0.0002434853369
176	0.0002419629375
177	0.0002404515311
178	0.0002390379748
179	0.0002375316498
180	0.0002361035774
181	0.0002347243168
182	0.0002333311732
183	0.0002320083826
184	0.0002306869238
185	0.0002293460739
186	0.0002280819077
187	0.0002267855407
188	0.0002254053475
189	0.0002240487535
190	0.0002228262214
191	0.0002215580779
192	0.0002203435387
193	0.0002191532349
194	0.0002179104447
195	0.0002166654525
196	0.0002154165212
197	0.0002144774074
198	0.0002132543493
199	0.0002120739819
200	0.0002109305145
201	0.0002096737417
202	0.0002086405625
203	0.0002074998994
204	0.0002064079718
205	0.0002052553562
206	0.000204167568
207	0.0002031004784
208	0.0002020552158
209	0.0002009108538
210	0.0001998716878
211	0.0001989010996
